Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url
	"@BCOOL333 Because Trump.

If Trump had been all-in on COVID from the beginning, they would have been too."	GBloodyWilliams	Sun Dec 06 12:57:50 +0000 2020	[]	0	0	https://twitter.com/GBloodyWilliams/status/1335569137104543748
	"@realDonaldTrump TRUMP IS A LOSER AS A PERSON
TRUMP SHOULD BE INDICTED FOR SEDITION 
TRUMP VOWED TO UPHOLD THE CONSTITUTION 
ANOTHER BIBLE PHOTO OP WITH HAND ON BIBLE
TRUMP IS A DEMON
TRUMP DOWNGRADES OUR DEMOCRACY
SO INEPT 280,000 COVID-19 DEATHS ON HIS WATCH"	lunf_philip	Sun Dec 06 15:12:12 +0000 2020	[]	0	0	https://twitter.com/lunf_philip/status/1335602952996843523
	This is what Trump has done 👇🏿👇🏿	GlennVotesBlue	Sun Dec 06 15:49:39 +0000 2020	[]	0	0	https://twitter.com/GlennVotesBlue/status/1335612377539239938
	The Narcissist #Trump	ArmstrongM	Sun Dec 06 15:32:31 +0000 2020	['Trump']	0	0	https://twitter.com/ArmstrongM/status/1335608061906591744
	Fuck trump	SabrosoMadre	Sun Dec 06 15:25:42 +0000 2020	[]	0	0	https://twitter.com/SabrosoMadre/status/1335606350202589185
	Trump should be following this.	MarciaG06680299	Sun Dec 06 15:17:15 +0000 2020	[]	0	0	https://twitter.com/MarciaG06680299/status/1335604222658752514
	FAILURE of #Trump 👇👇👇👇	InconvenientTr5	Sun Dec 06 15:15:32 +0000 2020	['Trump']	0	0	https://twitter.com/InconvenientTr5/status/1335603790448381953
	If only..... Trump is such a failure!	jiksand_kelly	Sun Dec 06 15:12:43 +0000 2020	[]	0	0	https://twitter.com/jiksand_kelly/status/1335603080696573955
	Trump's virus. Trump is killing us. It was a hoax.	AAFoxy1	Sun Dec 06 15:08:42 +0000 2020	[]	0	0	https://twitter.com/AAFoxy1/status/1335602070217482245
	The Trump Vaccine???????	KenefickTrish	Sun Dec 06 14:57:20 +0000 2020	[]	0	0	https://twitter.com/KenefickTrish/status/1335599208296935429
	But it’s Trump’s fault	UncleHotep	Sun Dec 06 14:42:23 +0000 2020	[]	0	0	https://twitter.com/UncleHotep/status/1335595446295814145
	"But...but...but it's the ""tRuMp vAcCiNe"" 🙄"	BrandiLynn4Ever	Sun Dec 06 14:34:21 +0000 2020	[]	0	0	https://twitter.com/BrandiLynn4Ever/status/1335593427250114560
	The Trump Plan!	CindyKe49173944	Sun Dec 06 14:25:11 +0000 2020	[]	0	0	https://twitter.com/CindyKe49173944/status/1335591117904089096
	That's trump's mo	KathyCorley14	Sun Dec 06 14:11:03 +0000 2020	[]	0	0	https://twitter.com/KathyCorley14/status/1335587563713781762
	
Covid is infectious
	Just because the PCR is positive does not mean you are infectious.  1,000 being held in Quarantine who are NOT infectious.  https://t.co/gQQzZbPCji	picturelady1959	Sun Dec 06 13:52:14 +0000 2020	[]	0	0	https://twitter.com/picturelady1959/status/1335582826767536129
	Viral cultures for COVID-19 infectious potential assessment – a systematic review | Clinical Infectious Diseases | Oxford Academic.   ———pcr test ☠️  https://t.co/knoxAqapEs	IndivisibleUnit	Sun Dec 06 13:45:56 +0000 2020	[]	0	0	https://twitter.com/IndivisibleUnit/status/1335581239546433537
	"Excellent on article on when people with Covid are most infectious. 

https://t.co/WpE4jIkIV4"	4144Adams	Sun Dec 06 14:40:22 +0000 2020	[]	0	0	https://twitter.com/4144Adams/status/1335594940416602120
	@carolmswain  They are holding people in Quarantine who are not infectious.  https://t.co/gQQzZbPCji	picturelady1959	Sun Dec 06 13:43:24 +0000 2020	[]	0	0	https://twitter.com/picturelady1959/status/1335580604319096832
	@andrewbostom So they are holding people in quarantine who are not infectious.	picturelady1959	Sun Dec 06 13:41:51 +0000 2020	[]	0	0	https://twitter.com/picturelady1959/status/1335580213737123842
	@andrewbostom So they are holding people in quarantine who are no infectious.	picturelady1959	Sun Dec 06 13:41:05 +0000 2020	[]	0	0	https://twitter.com/picturelady1959/status/1335580019557609474
	I'm an Infectious Disease Doctor and Would Never Touch This | Eat This Not That https://t.co/jQjEQbq4hz	criteria681	Sun Dec 06 15:09:19 +0000 2020	[]	0	0	https://twitter.com/criteria681/status/1335602227558424580
	Good nutrition is essential for vaccine uptake, but also for protecting against every disease - infectious and non-infectious, from diarrhoea and pneumonia to heart disease and dementia. The importance of good nutrition is so overlooked. #fundnutrition	kerriwazny	Sun Dec 06 13:14:18 +0000 2020	[]	0	0	https://twitter.com/kerriwazny/status/1335573279000686593
	.@EVMSedu infectious disease expert weighs in on COVID-19 vaccine recommendation https://t.co/3DyGMBE8qc https://t.co/35FnNmnSri	WTKR3	Sun Dec 06 13:15:07 +0000 2020	[]	0	0	https://twitter.com/WTKR3/status/1335573486048251904
	Bottom line: threshold between positive and negative covid PCR too low. Too many false positives. looking at infectious level of virus not partial virus remnants. CDC vs WHO different thresholds. Which is right for infectious?	kit_myster	Sun Dec 06 14:45:28 +0000 2020	[]	0	0	https://twitter.com/kit_myster/status/1335596221843517442
	@InfinityLight33 @Toniparilla @thebradfordfile @tweetguy_33_ Haha. Thanks for proving your ignorance. I work in the industry. PCR tests have less than a 5% false positive rate. The current CFR is between 2.7-3%. The CDC just announced the pandemic is in a highly infectious state. The virus itself was never downgraded from highly infectious	Tbretthauer	Sun Dec 06 14:49:12 +0000 2020	[]	0	0	https://twitter.com/Tbretthauer/status/1335597162386878468
	"I m afraid this is a fairly common situation
If u got covid from him then you r now past the 14d period and would not b infectious by now.
Yr results even if +ve is not real-time
Clinically u r past infectious
No further quarantine required
Not much thinking in this case https://t.co/P13JSMWyU9"	drmusanordin	Sun Dec 06 13:36:02 +0000 2020	[]	0	0	https://twitter.com/drmusanordin/status/1335578749782294528
	UV Light on Airplanes Could Prevent Spread of Coronavirus and Other Infectious Diseases https://t.co/1SiZQXSqDJ	fvo69622073	Sun Dec 06 14:26:50 +0000 2020	[]	0	0	https://twitter.com/fvo69622073/status/1335591533752545283
	@TheOtherVCruz @SIDE8008 @matteo361 @Stephania_ESPN There is zero evidence “asymptomatic” are infectious.	CaptJamesee	Sun Dec 06 13:34:16 +0000 2020	[]	0	0	https://twitter.com/CaptJamesee/status/1335578305299361795
