Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url	Cluster
	happy holidays everyone	MunoStarchaser	Sun Dec 06 12:15:25 +0000 2020	[]	0	0	https://twitter.com/MunoStarchaser/status/1335558461833293825	2
	"It’s time to brighten up your coronavirus quarantine with some much-needed holiday spirit. It's the #CBS4 Holiday Homes Tour with a virtual twist. Take a picture or video of your home decked out in its holiday splendor &amp; we may air it on TV or post online.
https://t.co/yGz1tZSFfm https://t.co/h0eaVk1XPP"	CBSMiami	Sun Dec 06 12:35:00 +0000 2020	['CBS4']	0	0	https://twitter.com/CBSMiami/status/1335563389368733696	2
	No lockdown of Ecija market during holidays https://t.co/dq0hWPRSJB	steveanne5040	Sun Dec 06 12:32:06 +0000 2020	[]	0	0	https://twitter.com/steveanne5040/status/1335562661682008065	2
	Wrapping up this week's focus on holiday triggers and #trauma. See my homepage for other related content. #COVID19 Pandemic Can Exacerbate Stress, #Depression During The Holidays, Especially For Those Who Are Isolated https://t.co/oeEMKiU9ob https://t.co/5tcF2qfBVP	jryanfuller	Sun Dec 06 13:00:19 +0000 2020	['trauma', 'COVID19']	0	0	https://twitter.com/jryanfuller/status/1335569759572799488	2
	@candicechetta Add pandemic holiday expectations to all that...🙄😭	UPGirlcd	Sun Dec 06 12:11:05 +0000 2020	[]	0	0	https://twitter.com/UPGirlcd/status/1335557373499412483	2
	@AlfieCrimson And Covid super spreader just in time for the holidays	delusionalmama	Sun Dec 06 12:57:12 +0000 2020	[]	0	0	https://twitter.com/delusionalmama/status/1335568978358505475	2
	Lots of great ideas here for the perfect healthy holiday gift option. Don't let the holiday season sneak up on you -- plan ahead! Great ideas from @NovantHealth. https://t.co/errNnthnEv	jesse_cureton	Sun Dec 06 13:00:02 +0000 2020	[]	0	0	https://twitter.com/jesse_cureton/status/1335569689066541056	2
	So excited to play this online #EscapeRoom #Game from brilliant #interactive #theatre company @FastFamiliar 🎅✨🎄🎉 What a fantastic way to connect with family &amp; friends over the holiday when we can't be in person!! #Pandemic #Holiday #Genius 🧩🎮👩‍💻🖥️❤️	Rebecca__Rouse	Sun Dec 06 12:55:40 +0000 2020	['EscapeRoom', 'Game', 'interactive', 'theatre']	0	0	https://twitter.com/Rebecca__Rouse/status/1335568589764648961	1
	During the pandemic holidays, be aware of the limits of what the coronavirus tests can do https://t.co/4AAjnqnnvB	hblioness1	Sun Dec 06 12:54:20 +0000 2020	[]	0	0	https://twitter.com/hblioness1/status/1335568255340122113	0
	Target opening at 7am for the holidays is the highlight of the pandemic year for me.	GE0RGiE_P0RGiE	Sun Dec 06 12:21:02 +0000 2020	[]	0	0	https://twitter.com/GE0RGiE_P0RGiE/status/1335559877104689154	0
